stock_permalink,stock_id,quarter_id,quarter_description,net_buys,average_ranking,market_cap_13f,held_by,total_shares,name,put_call_ratio,sell_buy_ratio,closing_price,avg_short_volume,total_volume,high,low,open
spwrb1,68562,21,2006-01-03,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-04,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-05,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-06,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-09,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-10,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-11,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-12,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-13,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-17,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-18,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-19,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-20,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-23,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-24,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-25,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-26,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-27,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-30,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-01-31,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-01,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-02,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-03,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-06,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-07,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-08,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-09,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-10,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-13,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-14,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-15,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-16,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-17,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-21,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-22,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-23,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-24,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-27,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-02-28,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-01,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-02,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-03,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-06,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-07,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-08,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-09,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-10,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-13,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-14,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-15,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-16,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-17,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-20,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-21,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-22,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-23,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-24,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-27,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-28,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-29,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-30,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,21,2006-03-31,1,163,3746472,1,98178,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-03-31,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-03,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-04,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-05,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-06,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-07,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-10,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-11,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-12,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-13,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-17,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-18,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-19,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-20,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-21,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-24,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-25,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-26,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-27,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-04-28,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-05-01,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-05-02,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-05-03,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
spwrb1,68562,22,2006-05-04,-1,,0,0,0,"SUNPOWER CORP. CLASS B",,,,,,,,
