stock_permalink,stock_id,quarter_id,quarter_description,net_buys,average_ranking,market_cap_13f,held_by,total_shares,name,put_call_ratio,sell_buy_ratio,closing_price,avg_short_volume,total_volume,high,low,open
true,167680,54,2014-03-31,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.4,0,5629600,9,9.24,9.26
true,167680,54,2014-04-01,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.45,0,9476700,9,9.36,9.43
true,167680,54,2014-04-02,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.5,0,12677900,9,9.42,9.43
true,167680,54,2014-04-03,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.75,0,20924600,9,9.66,9.7
true,167680,54,2014-04-04,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.51,0,15322400,9,9.41,9.78
true,167680,54,2014-04-07,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.58,0,7682500,9,9.42,9.46
true,167680,54,2014-04-08,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.89,0,10444000,9,9.71,9.8
true,167680,54,2014-04-09,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,10,0,7182700,10,9.81,9.9
true,167680,54,2014-04-10,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.69,0,9780200,10,9.675,9.95
true,167680,54,2014-04-11,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.58,0,6731600,9,9.55,9.65
true,167680,54,2014-04-14,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.56,0,4942800,9,9.45,9.67
true,167680,54,2014-04-15,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.71,0,5374100,9,9.475,9.56
true,167680,54,2014-04-16,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.51,0,10563800,9,9.21,9.85
true,167680,54,2014-04-17,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.56,0,7734000,9,9.32,9.47
true,167680,54,2014-04-21,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.57,0,3679400,9,9.42,9.63
true,167680,54,2014-04-22,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.7,0,5493700,9,9.55,9.57
true,167680,54,2014-04-23,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.73,0,3988200,9,9.68,9.74
true,167680,54,2014-04-24,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.77,0,2864200,9,9.58,9.81
true,167680,54,2014-04-25,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.45,0,7941900,9,9.37,9.79
true,167680,54,2014-04-28,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.27,0,4959500,9,9.13,9.56
true,167680,54,2014-04-29,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.38,0,3557700,9,9.27,9.32
true,167680,54,2014-04-30,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.41,0,5740600,9,9.25,9.38
true,167680,54,2014-05-01,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9.38,0,7917500,9,9.24,9.45
true,167680,54,2014-05-02,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,8.88,0,23854500,9,8.4,8.87
true,167680,54,2014-05-05,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,9,0,6579200,9,8.755,8.78
true,167680,54,2014-05-06,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,8.95,0,6764500,9,8.77,8.77
true,167680,54,2014-05-07,55,2375,328948171,56,22258190,"TRUECAR INC",0.3034379671151,,8.925,0,6301400,9,8.85,8.96
