stock_permalink,stock_id,quarter_id,quarter_description,net_buys,average_ranking,market_cap_13f,held_by,total_shares,name,put_call_ratio,sell_buy_ratio,closing_price,avg_short_volume,total_volume,high,low,open
aiz,4300,9,2003-01-02,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-03,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-06,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-07,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-08,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-09,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-10,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-13,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-14,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-15,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-16,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-17,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-21,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-22,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-23,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-24,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-27,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-28,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-29,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-30,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-01-31,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-02-03,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-02-04,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-02-05,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
aiz,4300,9,2003-02-06,1,35,3521000,1,140000,"ASSURANT INC.",,,,,,,,
