stock_permalink,stock_id,quarter_id,quarter_description,net_buys,average_ranking,market_cap_13f,held_by,total_shares,name,put_call_ratio,sell_buy_ratio,closing_price,avg_short_volume,total_volume,high,low,open
sbe,212235,73,2019-01-02,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-03,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-04,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-07,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-08,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-09,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-10,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-11,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-14,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-15,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-16,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-17,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-18,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-22,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-23,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-24,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-25,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-28,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-29,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-30,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-01-31,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-01,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-04,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-05,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-06,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-07,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-08,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-11,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-12,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-13,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-14,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-15,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-19,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-20,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-21,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-22,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-25,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-26,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-27,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-02-28,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-01,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-04,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-05,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-06,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-07,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-08,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-11,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-12,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-13,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-14,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-15,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-18,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-19,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-20,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-21,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-22,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-25,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-26,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-27,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-28,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,73,2019-03-29,1,1267,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,74,2019-04-01,0,1262,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
sbe,212235,74,2019-04-02,0,1262,70000,1,2008,"CHARGEPOINT HOLDINGS INC",,,,,,,,
